date,supplier,ingredient_name,category,cost_per_unit,unit,availability,quality_score,lead_time_days,minimum_order
1/1/2024,King Arthur Flour Co,Bread Flour,Flour & Grains,0.89,lb,Available,4.8,5,50
1/1/2024,King Arthur Flour Co,All-Purpose Flour,Flour & Grains,0.78,lb,Available,4.7,5,50
1/1/2024,Premium Dairy Supply,Unsalted Butter,Dairy Products,3.45,lb,Available,4.9,2,25
1/1/2024,Premium Dairy Supply,Heavy Cream,Dairy Products,2.89,quart,Available,4.6,2,12
1/1/2024,Farm Fresh Eggs Inc,Large Eggs,Dairy Products,2.34,dozen,Available,4.8,1,24
1/1/2024,Sweet Supply Co,Granulated Sugar,Sweeteners,0.67,lb,Available,4.5,7,100
1/1/2024,Sweet Supply Co,Brown Sugar,Sweeteners,0.89,lb,Available,4.4,7,50
1/1/2024,European Imports,Active Dry Yeast,Leavening Agents,12.45,lb,Available,4.9,10,5
1/1/2024,European Imports,Instant Yeast,Leavening Agents,14.67,lb,Available,4.8,10,5
1/1/2024,Artisan Chocolate Co,Dark Chocolate Chips,Chocolate & Cocoa,4.23,lb,Available,4.9,14,10
1/1/2024,Artisan Chocolate Co,Cocoa Powder,Chocolate & Cocoa,3.78,lb,Available,4.7,14,20
1/1/2024,Vanilla Extract Inc,Pure Vanilla Extract,Flavorings,23.45,16oz,Available,4.8,21,6
1/8/2024,King Arthur Flour Co,Whole Wheat Flour,Flour & Grains,0.95,lb,Available,4.6,5,50
1/8/2024,King Arthur Flour Co,Rye Flour,Flour & Grains,1.12,lb,Available,4.5,5,25
1/8/2024,Premium Dairy Supply,Cream Cheese,Dairy Products,2.67,8oz,Available,4.7,2,24
1/8/2024,Premium Dairy Supply,Sour Cream,Dairy Products,1.89,16oz,Available,4.4,2,18
1/8/2024,Farm Fresh Eggs Inc,Egg Whites,Dairy Products,3.45,32oz,Available,4.6,1,12
1/8/2024,Sweet Supply Co,Powdered Sugar,Sweeteners,1.23,lb,Available,4.3,7,50
1/8/2024,Sweet Supply Co,Honey,Sweeteners,4.56,16oz,Available,4.8,14,12
1/8/2024,European Imports,Baking Powder,Leavening Agents,2.89,12oz,Available,4.7,7,24
1/8/2024,European Imports,Baking Soda,Leavening Agents,1.45,16oz,Available,4.6,7,36
1/8/2024,Artisan Chocolate Co,White Chocolate Chips,Chocolate & Cocoa,4.67,lb,Available,4.8,14,10
1/8/2024,Artisan Chocolate Co,Semi-Sweet Chocolate,Chocolate & Cocoa,3.89,lb,Available,4.9,14,15
1/15/2024,Nuts & Fruits Direct,Almonds Sliced,Nuts & Seeds,6.78,lb,Available,4.7,7,15
1/15/2024,Nuts & Fruits Direct,Walnuts Chopped,Nuts & Seeds,7.23,lb,Available,4.6,7,10
1/15/2024,Nuts & Fruits Direct,Dried Cranberries,Dried Fruits,3.45,lb,Available,4.5,14,20
1/15/2024,Nuts & Fruits Direct,Raisins,Dried Fruits,2.89,lb,Available,4.4,14,25
1/15/2024,Spice World Trading,Cinnamon Ground,Spices & Seasonings,8.9,lb,Available,4.8,21,5
1/15/2024,Spice World Trading,Nutmeg Ground,Spices & Seasonings,15.67,lb,Available,4.7,21,2
1/15/2024,Spice World Trading,Ginger Ground,Spices & Seasonings,9.45,lb,Available,4.6,21,5
1/15/2024,Spice World Trading,Cardamom Ground,Spices & Seasonings,28.9,lb,Available,4.9,28,1
1/15/2024,Oil & Fats Supply,Vegetable Oil,Oils & Fats,2.34,gallon,Available,4.3,3,8
1/15/2024,Oil & Fats Supply,Coconut Oil,Oils & Fats,5.67,gallon,Available,4.6,7,4
1/15/2024,Specialty Ingredients,Almond Extract,Flavorings,18.9,4oz,Available,4.8,14,12
1/15/2024,Specialty Ingredients,Lemon Extract,Flavorings,12.45,4oz,Available,4.7,14,18
1/22/2024,King Arthur Flour Co,Pastry Flour,Flour & Grains,1.05,lb,Available,4.9,5,25
1/22/2024,King Arthur Flour Co,Semolina Flour,Flour & Grains,1.23,lb,Available,4.4,5,20
1/22/2024,Premium Dairy Supply,Buttermilk,Dairy Products,1.67,quart,Available,4.5,2,12
